date,temp,rainfall,humidity
2013-04-14,28.7,2.0,39.7
2013-04-15,28.6,0.0,41.7
2013-04-16,31.7,0.0,30.7
2013-04-17,29.9,0.0,27.4
2013-04-18,30.6,0.0,23.7
2013-04-19,30.3,0.0,27.2
2013-04-20,30.6,0.0,27.8
2013-04-21,28.4,0.0,39.5
2013-04-22,26.9,0.0,49.5
2013-04-23,29.1,0.0,42.8
2013-04-24,30.8,0.0,38.8
2013-04-25,31.5,0.0,39.1
2013-04-26,30.9,0.0,41.5
2013-04-27,31.8,0.0,32.7
2013-04-28,31.2,0.0,29.6
2013-04-29,32.8,0.0,24.3
2013-04-30,32.9,0.0,31.3
2013-05-13,30.8,0.0,45.3
2013-05-14,33.7,0.0,31.8
2013-05-15,33.8,0.0,29.6
2013-05-16,34.4,0.1,27.0
2013-05-17,34.4,0.0,25.0
2013-05-18,35.9,0.0,22.2
2013-05-19,36.7,0.0,19.2
2013-05-20,37.4,0.0,17.7
2013-05-21,37.1,0.0,18.4
2013-05-22,37.2,0.0,18.2
2013-05-23,38.2,0.0,19.1
2013-05-24,38.5,0.0,22.3
2013-05-25,38.1,0.0,23.7
2013-05-26,37.1,0.0,23.6
2013-05-27,36.1,0.0,32.0
2013-05-28,36.5,0.0,29.4
2013-05-29,36.0,0.0,22.3
2013-05-30,34.7,0.0,22.4
2013-06-13,30.7,0.0,69.3
2013-06-14,31.4,10.208,64.0
2013-06-15,30.6,5.104,68.2
2013-06-16,27.0,38.279,90.9
2013-06-17,27.2,26.37,87.2
2013-06-18,28.1,0.1,90.8
2013-06-19,29.8,4.253,73.6
2013-06-20,33.0,0.5,56.7
2013-06-21,35.4,0.0,48.7
2013-06-22,35.5,0.0,43.9
2013-06-23,35.3,0.0,53.6
2013-06-24,33.8,0.0,60.9
2013-06-25,30.5,0.0,74.9
2013-06-26,30.5,0.4,75.8
2013-06-27,31.4,1.701,70.5
2013-06-28,30.6,0.0,72.0
2013-06-30,32.5,0.0,57.1
2013-07-13,31.3,0.0,76.4
2013-07-14,31.0,3.403,77.6
2013-07-15,31.3,0.0,76.7
2013-07-16,30.2,28.072,81.5
2013-07-17,30.6,0.6,83.6
2013-07-18,30.7,5.955,84.1
2013-07-19,31.2,0.0,76.9
2013-07-20,27.1,120.312,92.2
2013-07-21,28.8,0.2,86.4
