,temp,temp,temp,temp,rainfall,humidity
,mean,min,max,std,sum,mean
date,,,,,,
2013-04-30,30.394117647058827,26.9,32.9,1.6265264323994602,2.0,34.54705882352941
2013-05-31,35.922222222222224,30.8,38.5,1.9696388308984516,0.1,24.955555555555556
2013-06-30,31.370588235294115,27.0,35.5,2.6383623485702152,86.915,68.12352941176471
2013-07-31,29.938888888888886,27.1,31.3,1.2199994642664622,225.451,83.13333333333334
2013-08-31,29.11875,27.0,31.6,1.5051993223490376,218.24499999999998,84.4875
2013-09-30,29.21333333333333,27.0,31.2,1.0190097901300812,59.555,73.29333333333334
2013-10-31,25.155555555555555,22.8,27.7,1.6099770631256993,0.851,68.23333333333333
2013-11-30,18.23888888888889,16.9,20.1,0.9146769850215457,0.0,60.53333333333333
2013-12-31,13.9,10.5,16.3,1.8743887892679394,7.074,79.85263157894737
2014-01-31,13.557894736842107,11.2,15.6,1.3524939061163535,7.8919999999999995,89.6263157894737
2014-02-28,15.41875,12.7,18.8,1.9180610869660382,59.988,77.68125
2014-03-31,23.07894736842105,18.8,25.3,1.9532249535827269,3.958,58.62105263157895
2014-04-30,29.75,24.8,34.5,2.635113570495923,9.34,34.83888888888889
2014-05-31,32.08947368421053,24.9,36.3,3.045378052948452,31.411,41.6578947368421
2014-06-30,34.205555555555556,29.7,37.6,2.243021130272668,34.891,49.8
2014-07-31,30.836842105263155,27.5,33.4,1.3325875107039722,78.808,73.52105263157895
2014-08-31,31.676470588235293,27.3,34.1,2.0725978299481738,47.551,60.09411764705882
2014-09-30,30.16111111111111,28.6,31.0,0.6563167177414638,0.2,59.888888888888886
2014-10-31,25.142105263157895,23.5,27.3,1.0068188568587284,2.2110000000000003,60.39473684210526
2014-11-30,18.51111111111111,16.9,21.5,1.2043494162160198,0.0,52.705555555555556
2014-12-31,11.0,8.5,15.9,2.172811798364302,9.558,87.39473684210526
2015-01-31,12.478947368421052,10.8,14.6,0.9271095748306615,7.657,82.47894736842105
2015-02-28,20.89375,16.8,23.4,1.7494642036920889,2.1,60.58125
2015-03-31,23.74736842105263,18.1,28.7,3.197632530665395,13.559,60.073684210526324
2015-04-30,30.04444444444444,24.4,33.1,2.6111125017379133,1.901,44.27222222222222
2015-05-31,34.400000000000006,29.0,38.7,3.112215023571023,2.141,33.81111111111111
2015-06-30,31.833333333333332,26.1,36.4,2.5251674376633515,53.935,60.01111111111111
2015-07-31,30.141176470588235,28.1,32.5,1.3119921986855578,18.884,74.9235294117647
